experiment,repeat_id,b,scale_state,v_oracle,v_raw,v_iso,delta_v,treat_rate_oracle,treat_rate_raw,treat_rate_iso,raw_treated_true_positive_share,raw_treated_false_positive_share,iso_treated_true_positive_share,iso_treated_false_positive_share,mse_raw,mse_iso,cal_raw,cal_iso,t_theta,flip_rate,flip_count,beneficial_flip_rate,harmful_flip_rate,beneficial_flip_count,harmful_flip_count,beneficial_sign_share,harmful_sign_share,beneficial_value,harmful_value,mean_tau_flip_region,mean_abs_tau_flip_region,global_spearman,flip_region_spearman
slope_bias,3,2,expanded,0.965835243981562,0.965835243981562,0.963026493775272,-0.0028087502062899,0.155,0.155,0.3632,1,0,0.426762114537445,0.573237885462555,0.0436606514194423,0.00184623974380345,0.0479503796390345,0.000903798700498732,-0.0545956140655777,0.2082,1041,0,0.2082,0,1041,0,1,0,-0.00280875020628987,-0.0134906349965892,0.0134906349965892,1,1
slope_bias,4,0.25,compressed,0.966352766808786,0.966352766808786,0.96604169672655,-0.00031107008223541,0.1652,0.1652,0.2374,1,0,0.695871946082561,0.304128053917439,0.0241971791292824,0.00112283956240151,0.0262248413581559,0.000809272664680447,-0.00219633846838621,0.0722,361,0,0.0722,0,361,0,1,0,-0.000311070082235391,-0.00430844989245694,0.00430844989245694,1,1
slope_bias,4,0.5,compressed,0.966352766808786,0.966352766808786,0.96604169672655,-0.00031107008223541,0.1652,0.1652,0.2374,1,0,0.695871946082561,0.304128053917439,0.0107543018352366,0.00112283956240151,0.0123550275062624,0.000809272664680447,-0.00439267693677242,0.0722,361,0,0.0722,0,361,0,1,0,-0.000311070082235391,-0.00430844989245694,0.00430844989245694,1,1
slope_bias,4,0.75,compressed,0.966352766808786,0.966352766808786,0.96604169672655,-0.00031107008223541,0.1652,0.1652,0.2374,1,0,0.695871946082561,0.304128053917439,0.00268857545880915,0.00112283956240151,0.00375409657328845,0.000809272664680447,-0.00658901540515863,0.0722,361,0,0.0722,0,361,0,1,0,-0.000311070082235391,-0.00430844989245694,0.00430844989245694,1,1
slope_bias,4,1,identity_scale,0.966352766808786,0.966352766808786,0.96604169672655,-0.00031107008223541,0.1652,0.1652,0.2374,1,0,0.695871946082561,0.304128053917439,0,0.00112283956240151,0.000422048559234061,0.000809272664680447,-0.00878535387354484,0.0722,361,0,0.0722,0,361,0,1,0,-0.000311070082235391,-0.00430844989245694,0.00430844989245694,1,1
slope_bias,4,1.25,expanded,0.966352766808786,0.966352766808786,0.96604169672655,-0.00031107008223541,0.1652,0.1652,0.2374,1,0,0.695871946082561,0.304128053917439,0.00268857545880915,0.00112283956240151,0.00235888346409922,0.000809272664680447,-0.0109816923419311,0.0722,361,0,0.0722,0,361,0,1,0,-0.000311070082235391,-0.00430844989245694,0.00430844989245694,1,1
slope_bias,4,1.5,expanded,0.966352766808786,0.966352766808786,0.96604169672655,-0.00031107008223541,0.1652,0.1652,0.2374,1,0,0.695871946082561,0.304128053917439,0.0107543018352366,0.00112283956240151,0.00956460128788392,0.000809272664680447,-0.0131780308103173,0.0722,361,0,0.0722,0,361,0,1,0,-0.000311070082235391,-0.00430844989245694,0.00430844989245694,1,1
slope_bias,4,2,expanded,0.966352766808786,0.966352766808786,0.96604169672655,-0.00031107008223541,0.1652,0.1652,0.2374,1,0,0.695871946082561,0.304128053917439,0.0430172073409465,0.00112283956240151,0.039782685692212,0.000809272664680447,-0.0175707077470897,0.0722,361,0,0.0722,0,361,0,1,0,-0.000311070082235391,-0.00430844989245694,0.00430844989245694,1,1
slope_bias,5,0.25,compressed,0.966537108400913,0.966537108400913,0.965784115571579,-0.000752992829334387,0.1576,0.1576,0.0624,1,0,1,0,0.0239926430081674,0.000941686326910678,0.0274911027503275,0.00151173045537803,0.00509996273517097,0.0952,476,0,0.0952,0,476,0,1,0,-0.000752992829334406,0.00790958854342863,0.00790958854342863,1,1
slope_bias,5,0.5,compressed,0.966537108400913,0.966537108400913,0.965784115571579,-0.000752992829334387,0.1576,0.1576,0.0624,1,0,1,0,0.0106633968925188,0.000941686326910678,0.0133951665801498,0.00151173045537803,0.0101999254703419,0.0952,476,0,0.0952,0,476,0,1,0,-0.000752992829334406,0.00790958854342863,0.00790958854342863,1,1
slope_bias,5,0.75,compressed,0.966537108400913,0.966537108400913,0.965784115571579,-0.000752992829334387,0.1576,0.1576,0.0624,1,0,1,0,0.00266584922312971,0.000941686326910678,0.00452497108143919,0.00151173045537803,0.0152998882055129,0.0952,476,0,0.0952,0,476,0,1,0,-0.000752992829334406,0.00790958854342863,0.00790958854342863,1,1
slope_bias,5,1,identity_scale,0.966537108400913,0.966537108400913,0.965784115571579,-0.000752992829334387,0.1576,0.1576,0.0624,1,0,1,0,0,0.000941686326910678,0.000880516254195772,0.00151173045537803,0.0203998509406839,0.0952,476,0,0.0952,0,476,0,1,0,-0.000752992829334406,0.00790958854342863,0.00790958854342863,1,1
slope_bias,5,1.25,expanded,0.966537108400913,0.966537108400913,0.965784115571579,-0.000752992829334387,0.1576,0.1576,0.0624,1,0,1,0,0.00266584922312971,0.000941686326910678,0.00246180209841953,0.00151173045537803,0.0254998136758548,0.0952,476,0,0.0952,0,476,0,1,0,-0.000752992829334406,0.00790958854342863,0.00790958854342863,1,1
slope_bias,5,1.5,expanded,0.966537108400913,0.966537108400913,0.965784115571579,-0.000752992829334387,0.1576,0.1576,0.0624,1,0,1,0,0.0106633968925188,0.000941686326910678,0.00926882861411045,0.00151173045537803,0.0305997764110258,0.0952,476,0,0.0952,0,476,0,1,0,-0.000752992829334406,0.00790958854342863,0.00790958854342863,1,1
slope_bias,5,2,expanded,0.966537108400913,0.966537108400913,0.965784115571579,-0.000752992829334387,0.1576,0.1576,0.0624,1,0,1,0,0.0426535875700753,0.000941686326910678,0.0385601036598938,0.00151173045537803,0.0407997018813677,0.0952,476,0,0.0952,0,476,0,1,0,-0.000752992829334406,0.00790958854342863,0.00790958854342863,1,1
slope_bias,6,0.25,compressed,0.966202478628561,0.966202478628561,0.965187996966553,-0.0010144816620079,0.1624,0.1624,0.051,1,0,1,0,0.0255002300497445,0.000746731033298838,0.0243132958774749,0.00123926323120811,0.0057173382965478,0.1114,557,0,0.1114,0,557,0,1,0,-0.00101448166200792,0.00910665764818598,0.00910665764818598,1,1
slope_bias,6,0.5,compressed,0.966202478628561,0.966202478628561,0.965187996966553,-0.0010144816620079,0.1624,0.1624,0.051,1,0,1,0,0.0113334355776642,0.000746731033298838,0.0108343321516734,0.00123926323120811,0.0114346765930956,0.1114,557,0,0.1114,0,557,0,1,0,-0.00101448166200792,0.00910665764818598,0.00910665764818598,1,1
slope_bias,6,0.75,compressed,0.966202478628561,0.966202478628561,0.965187996966553,-0.0010144816620079,0.1624,0.1624,0.051,1,0,1,0,0.00283335889441605,0.000746731033298838,0.00291695968791163,0.00123926323120811,0.0171520148896434,0.1114,557,0,0.1114,0,557,0,1,0,-0.00101448166200792,0.00910665764818598,0.00910665764818598,1,1
