experiment,repeat_id,a,direction,v_oracle,v_raw,v_iso,delta_v,treat_rate_oracle,treat_rate_raw,treat_rate_iso,raw_treated_true_positive_share,raw_treated_false_positive_share,iso_treated_true_positive_share,iso_treated_false_positive_share,mse_raw,mse_iso,cal_raw,cal_iso,t_theta,flip_rate,flip_count,beneficial_flip_rate,harmful_flip_rate,beneficial_flip_count,harmful_flip_count,beneficial_sign_share,harmful_sign_share,beneficial_value,harmful_value,mean_tau_flip_region,mean_abs_tau_flip_region,global_spearman,flip_region_spearman
additive_bias,223,0,no_bias,0.964056490329732,0.964056490329732,0.963675781094076,-0.000380709235656251,0.1508,0.1508,0.0794,1,0,1,0,0,0.00101857066893566,0.000330013845020271,0.000990031780908318,0.0117422679401251,0.0714,357,0,0.0714,0,357,0,1,0,-0.000380709235656245,0.00533206212403704,0.00533206212403704,1,1
additive_bias,223,0.1,score_high_bias,0.964056490329732,0.947953751888666,0.963675781094076,0.01572202920541,0.1508,0.59,0.0794,0.255593220338983,0.744406779661017,1,0,0.01,0.00101857066893566,0.00904366273124149,0.000990031780908318,0.111742267940125,0.5106,2553,0.4392,0.0714,2196,357,0.860164512338425,0.139835487661575,0.0161027384410662,-0.000380709235656245,-0.030791283206835,0.0322825062215481,1,1
additive_bias,223,0.25,score_high_bias,0.964056490329732,0.915544628718976,0.963675781094076,0.0481311523750998,0.1508,0.7876,0.0794,0.191467750126968,0.808532249873032,1,0,0.0625,0.00101857066893566,0.0596141360605733,0.000990031780908318,0.261742267940125,0.7082,3541,0.6368,0.0714,3184,357,0.899181022310082,0.100818977689918,0.048511861610756,-0.000380709235656245,-0.067962655146992,0.0690378012516411,1,1
additive_bias,223,0.5,score_high_bias,0.964056490329732,0.85396851765239,0.963675781094076,0.109707263441685,0.1508,0.9574,0.0794,0.157509922707332,0.842490077292668,1,0,0.25,0.00101857066893566,0.243898258276126,0.000990031780908318,0.511742267940125,0.878,4390,0.8066,0.0714,4033,357,0.918678815489749,0.0813211845102506,0.110087972677342,-0.000380709235656245,-0.124951325104425,0.125818544320043,1,1
additive_bias,224,-0.5,score_low_bias,0.964729123862185,0.960912010640459,0.964724687364755,0.0038126767242963,0.1622,0,0.1536,,,1,0,0.25,0.00233195528677643,0.258575281479663,0.00242132616927853,-0.498863832079587,0.1536,768,0.1536,0,768,0,1,0,0.00381267672429632,0,0.0248221140904709,0.0248221140904709,1,1
additive_bias,224,-0.25,score_low_bias,0.964729123862185,0.960912010640459,0.964724687364755,0.0038126767242963,0.1622,0,0.1536,,,1,0,0.0625,0.00233195528677643,0.0670531514367104,0.00242132616927853,-0.248863832079587,0.1536,768,0.1536,0,768,0,1,0,0.00381267672429632,0,0.0248221140904709,0.0248221140904709,1,1
additive_bias,224,-0.1,score_low_bias,0.964729123862185,0.961304466507935,0.964724687364755,0.00342022085682014,0.1622,0.0032,0.1536,1,0,1,0,0.01,0.00233195528677643,0.0121398734109386,0.00242132616927853,-0.0988638320795869,0.1504,752,0.1504,0,752,0,1,0,0.00342022085682019,0,0.0227408301650279,0.0227408301650279,1,1
additive_bias,224,0,no_bias,0.964729123862185,0.964729123862185,0.964724687364755,-4.43649742998264e-06,0.1622,0.1622,0.1536,1,0,1,0,0,0.00233195528677643,0.00053102139375737,0.00242132616927853,0.00113616792041316,0.0086,43,0,0.0086,0,43,0,1,0,-4.43649742995649e-06,0.000515871794180987,0.000515871794180987,1,1
additive_bias,224,0.1,score_high_bias,0.964729123862185,0.948930789185491,0.964724687364755,0.015793898179264,0.1622,0.6006,0.1536,0.27006327006327,0.72993672993673,1,0,0.01,0.00233195528677643,0.00892216937657616,0.00242132616927853,0.101136167920413,0.447,2235,0.4384,0.0086,2192,43,0.98076062639821,0.0192393736017897,0.015798334676694,-4.43649742995649e-06,-0.0353331055464519,0.0353529556468097,1,1
additive_bias,224,0.25,score_high_bias,0.964729123862185,0.91714650734406,0.964724687364755,0.0475781800206954,0.1622,0.7924,0.1536,0.204694598687532,0.795305401312468,1,0,0.0625,0.00233195528677643,0.0590088913508043,0.00242132616927853,0.251136167920413,0.6388,3194,0.6302,0.0086,3151,43,0.986537257357545,0.0134627426424546,0.0475826165181253,-4.43649742995649e-06,-0.0744805573273252,0.0744944474257284,1,1
additive_bias,224,0.5,score_high_bias,0.964729123862185,0.858113395836103,0.964724687364755,0.106611291528652,0.1622,0.9544,0.1536,0.169949706621961,0.830050293378039,1,0,0.25,0.00233195528677643,0.242486761307851,0.00242132616927853,0.501136167920413,0.8008,4004,0.7922,0.0086,3961,43,0.989260739260739,0.0107392607392607,0.106615728026082,-4.43649742995649e-06,-0.133130983427387,0.133142063590799,1,1
additive_bias,225,-0.5,score_low_bias,0.964798167771293,0.961353901434786,0.964798053448405,0.00344415201361969,0.1616,0,0.1636,,,0.987775061124694,0.0122249388753056,0.25,0.00128664356987774,0.242482286872042,0.0011580375007818,-0.500124212832163,0.1636,818,0.1616,0.002,808,10,0.987775061124694,0.0122249388753056,0.00344426633650779,-1.14322888068741e-07,0.0210522739218809,0.0210536715121996,1,1
additive_bias,225,-0.25,score_low_bias,0.964798167771293,0.961353901434786,0.964798053448405,0.00344415201361969,0.1616,0,0.1636,,,0.987775061124694,0.0122249388753056,0.0625,0.00128664356987774,0.059077081285754,0.0011580375007818,-0.250124212832163,0.1636,818,0.1616,0.002,808,10,0.987775061124694,0.0122249388753056,0.00344426633650779,-1.14322888068741e-07,0.0210522739218809,0.0210536715121996,1,1
additive_bias,225,-0.1,score_low_bias,0.964798167771293,0.961759300967164,0.964798053448405,0.00303875248124164,0.1616,0.0034,0.1636,1,0,0.987775061124694,0.0122249388753056,0.01,0.00128664356987774,0.00903395793398096,0.0011580375007818,-0.100124212832163,0.1602,801,0.1582,0.002,791,10,0.987515605493133,0.0124843945068664,0.00303886680412979,-1.14322888068741e-07,0.0189684923922704,0.0189699196443063,1,1
additive_bias,225,0,no_bias,0.964798167771293,0.964798167771293,0.964798053448405,-1.1432288815616e-07,0.1616,0.1616,0.1636,1,0,0.987775061124694,0.0122249388753056,0,0.00128664356987774,0.000671875699465591,0.0011580375007818,-0.000124212832162574,0.002,10,0,0.002,0,10,0,1,0,-1.14322888068741e-07,-5.71614440343704e-05,5.71614440343704e-05,1,1
additive_bias,225,0.1,score_high_bias,0.964798167771293,0.949069870387259,0.964798053448405,0.0157281830611463,0.1616,0.598,0.1636,0.270234113712375,0.729765886287625,0.987775061124694,0.0122249388753056,0.01,0.00128664356987774,0.0123097934649502,0.0011580375007818,0.0998757871678374,0.4344,2172,0.4344,0,2172,0,1,0,0.0157281830611464,0,-0.0362066829216077,0.0362066829216077,1,1
additive_bias,225,0.25,score_high_bias,0.964798167771293,0.91590029679847,0.964798053448405,0.0488977566499353,0.1616,0.7966,0.1636,0.202862164197841,0.797137835802159,0.987775061124694,0.0122249388753056,0.0625,0.00128664356987774,0.0672666701131772,0.0011580375007818,0.249875787167837,0.633,3165,0.633,0,3165,0,1,0,0.0488977566499354,0,-0.0772476408371807,0.0772476408371807,1,1
additive_bias,225,0.5,score_high_bias,0.964798167771293,0.858129568192302,0.964798053448405,0.106668485256103,0.1616,0.9568,0.1636,0.168896321070234,0.831103678929766,0.987775061124694,0.0122249388753056,0.25,0.00128664356987774,0.258861464526889,0.0011580375007818,0.499875787167837,0.7932,3966,0.7932,0,3966,0,1,0,0.106668485256103,0,-0.134478675310266,0.134478675310266,1,1
additive_bias,226,-0.5,score_low_bias,0.965131730307529,0.961455662431697,0.965030981849497,0.00357531941779976,0.1514,0,0.1136,,,1,0,0.25,0.00212298702742404,0.248821561760272,0.000913969106520578,-0.494530691187834,0.1136,568,0.1136,0,568,0,1,0,0.00357531941779972,0,0.0314728821989412,0.0314728821989412,1,1
additive_bias,226,-0.25,score_low_bias,0.965131730307529,0.961455662431697,0.965030981849497,0.00357531941779976,0.1514,0,0.1136,,,1,0,0.0625,0.00212298702742404,0.0621942035475745,0.000913969106520578,-0.244530691187834,0.1136,568,0.1136,0,568,0,1,0,0.00357531941779972,0,0.0314728821989412,0.0314728821989412,1,1
additive_bias,226,-0.1,score_low_bias,0.965131730307529,0.961718663892128,0.965030981849497,0.00331231795736842,0.1514,0.002,0.1136,1,0,1,0,0.01,0.00212298702742404,0.0102177886199563,0.000913969106520578,-0.0945306911878337,0.1116,558,0.1116,0,558,0,1,0,0.00331231795736835,0,0.0296802684352003,0.0296802684352003,1,1
additive_bias,226,0,no_bias,0.965131730307529,0.965131730307529,0.965030981849497,-0.000100748458032429,0.1514,0.1514,0.1136,1,0,1,0,0,0.00212298702742404,0.000566845334877526,0.000913969106520578,0.00546930881216634,0.0378,189,0,0.0378,0,189,0,1,0,-0.000100748458032443,0.0026653031225514,0.0026653031225514,1,1
additive_bias,226,0.1,score_high_bias,0.965131730307529,0.949287145541796,0.965030981849497,0.0157438363077005,0.1514,0.5852,0.1136,0.258714969241285,0.741285030758715,1,0,0.01,0.00212298702742404,0.0109159020497987,0.000913969106520578,0.105469308812166,0.4716,2358,0.4338,0.0378,2169,189,0.919847328244275,0.0801526717557252,0.0158445847657329,-0.000100748458032443,-0.0333838768187033,0.0338111391513261,1,1
additive_bias,226,0.25,score_high_bias,0.965131730307529,0.914747250230372,0.965030981849497,0.0502837316191251,0.1514,0.7928,0.1136,0.190968718466196,0.809031281533804,1,0,0.0625,0.00212298702742404,0.0639394871221806,0.000913969106520578,0.255469308812166,0.6792,3396,0.6414,0.0378,3207,189,0.94434628975265,0.0556537102473498,0.0503844800771575,-0.000100748458032443,-0.0740337626901135,0.0743304307055212,1,1
additive_bias,226,0.5,score_high_bias,0.965131730307529,0.85461039133383,0.965030981849497,0.110420590515667,0.1514,0.958,0.1136,0.1580375782881,0.8419624217119,1,0,0.25,0.00212298702742404,0.252312128909484,0.000913969106520578,0.505469308812166,0.8444,4222,0.8066,0.0378,4033,189,0.95523448602558,0.0447655139744197,0.1105213389737,-0.000100748458032443,-0.130768108142666,0.131006735471023,1,1
additive_bias,227,-0.5,score_low_bias,0.964954145487413,0.961578681173264,0.964930386836202,0.00335170566293763,0.1546,0,0.135,,,1,0,0.25,0.00151990844742316,0.241838949610611,0.00130173570107981,-0.497719848804073,0.135,675,0.135,0,675,0,1,0,0.00335170566293767,0,0.0248274493550939,0.0248274493550939,1,1
additive_bias,227,-0.25,score_low_bias,0.964954145487413,0.961578681173264,0.964930386836202,0.00335170566293763,0.1546,0,0.135,,,1,0,0.0625,0.00151990844742316,0.0586228504521853,0.00130173570107981,-0.247719848804073,0.135,675,0.135,0,675,0,1,0,0.00335170566293767,0,0.0248274493550939,0.0248274493550939,1,1
additive_bias,227,-0.1,score_low_bias,0.964954145487413,0.961926957378922,0.964930386836202,0.00300342945727972,0.1546,0.0028,0.135,1,0,1,0,0.01,0.00151990844742316,0.00869319095712961,0.00130173570107981,-0.0977198488040727,0.1322,661,0.1322,0,661,0,1,0,0.00300342945727969,0,0.0227188309930385,0.0227188309930385,1,1
additive_bias,227,0,no_bias,0.964954145487413,0.964954145487413,0.964930386836202,-2.3758651211625e-05,0.1546,0.1546,0.135,1,0,1,0,0,0.00151990844742316,0.000406751293759147,0.00130173570107981,0.00228015119592728,0.0196,98,0,0.0196,0,98,0,1,0,-2.37586512115975e-05,0.00121217608222436,0.00121217608222436,1,1
additive_bias,227,0.1,score_high_bias,0.964954145487413,0.948370805994037,0.964930386836202,0.0165595808421651,0.1546,0.6022,0.135,0.256725340418466,0.743274659581534,1,0,0.01,0.00151990844742316,0.0121203116303887,0.00130173570107981,0.102280151195927,0.4672,2336,0.4476,0.0196,2238,98,0.958047945205479,0.0419520547945205,0.0165833394933768,-2.37586512115975e-05,-0.0354443083094289,0.0355460148642731,1,1
additive_bias,227,0.25,score_high_bias,0.964954145487413,0.916823640257588,0.964930386836202,0.0481067465786138,0.1546,0.792,0.135,0.19520202020202,0.80479797979798,1,0,0.0625,0.00151990844742316,0.067190652135333,0.00130173570107981,0.252280151195927,0.657,3285,0.6374,0.0196,3187,98,0.970167427701674,0.0298325722983257,0.0481305052298254,-2.37586512115975e-05,-0.0732218364971291,0.0732941611583517,1,1
additive_bias,227,0.5,score_high_bias,0.964954145487413,0.859328570212631,0.964930386836202,0.105601816623571,0.1546,0.9526,0.135,0.162292672685282,0.837707327314718,1,0,0.25,0.00151990844742316,0.258974552976907,0.00130173570107981,0.502280151195927,0.8176,4088,0.798,0.0196,3990,98,0.976027397260274,0.023972602739726,0.105625575274782,-2.37586512115975e-05,-0.12916073461787,0.12921885264921,1,1
additive_bias,228,-0.5,score_low_bias,0.964660803090829,0.961200153737603,0.964599378284458,0.00339922454685504,0.154,0,0.1224,,,1,0,0.25,0.00237596453496129,0.257990395103561,0.00107120155471766,-0.495789007472641,0.1224,612,0.1224,0,612,0,1,0,0.00339922454685502,0,0.0277714423762665,0.0277714423762665,1,1
additive_bias,228,-0.25,score_low_bias,0.964660803090829,0.961200153737603,0.964599378284458,0.00339922454685504,0.154,0,0.1224,,,1,0,0.0625,0.00237596453496129,0.0669314178208709,0.00107120155471766,-0.245789007472641,0.1224,612,0.1224,0,612,0,1,0,0.00339922454685502,0,0.0277714423762665,0.0277714423762665,1,1
additive_bias,228,-0.1,score_low_bias,0.964660803090829,0.961609484376249,0.964599378284458,0.00298989390820958,0.154,0.0034,0.1224,1,0,1,0,0.01,0.00237596453496129,0.0122960314512567,0.00107120155471766,-0.0957890074726412,0.119,595,0.119,0,595,0,1,0,0.00298989390820951,0,0.0251251588925169,0.0251251588925169,1,1
additive_bias,228,0,no_bias,0.964660803090829,0.964660803090829,0.964599378284458,-6.14248063705025e-05,0.154,0.154,0.1224,1,0,1,0,0,0.00237596453496129,0.000872440538180607,0.00107120155471766,0.00421099252735879,0.0316,158,0,0.0316,0,158,0,1,0,-6.1424806370534e-05,0.0019438229864093,0.0019438229864093,1,1
additive_bias,228,0.1,score_high_bias,0.964660803090829,0.948694312943623,0.964599378284458,0.0159050653408357,0.154,0.589,0.1224,0.261460101867572,0.738539898132428,1,0,0.01,0.00237596453496129,0.00944884962510447,0.00107120155471766,0.104210992527359,0.4666,2333,0.435,0.0316,2175,158,0.932276039434205,0.0677239605657951,0.0159664901472062,-6.1424806370534e-05,-0.0340871524664287,0.0343504392489856,1,1
additive_bias,228,0.25,score_high_bias,0.964660803090829,0.916011050616433,0.964599378284458,0.0485883276680252,0.154,0.7834,0.1224,0.196579014551953,0.803420985448047,1,0,0.0625,0.00237596453496129,0.0598134632554903,0.00107120155471766,0.254210992527359,0.661,3305,0.6294,0.0316,3147,158,0.952193645990923,0.0478063540090772,0.0486497524743958,-6.1424806370534e-05,-0.073507303582489,0.0736931577621275,1,1
additive_bias,228,0.5,score_high_bias,0.964660803090829,0.853771171829239,0.964599378284458,0.110828206455219,0.154,0.9546,0.1224,0.161324114812487,0.838675885187513,1,0,0.25,0.00237596453496129,0.2437544859728,0.00107120155471766,0.504210992527359,0.8322,4161,0.8006,0.0316,4003,158,0.962028358567652,0.037971641432348,0.11088963126159,-6.1424806370534e-05,-0.133174965699615,0.13332258599851,1,1
