sample_size,learner,calibration_method,raw_bin,raw_bin_mid,raw_bin_lower,raw_bin_upper,corrected_rate,wrong_rate,total_flip_rate,count
1000,GBRT 8,Causal Isotonic,27,0.117522853361214,0.101115101554195,0.13774735241534,0.537325349301397,-0.28298957640275,0.820314925704147,22545
1000,GBRT 8,Causal Isotonic,28,0.154432709892827,0.137749660290347,0.174380368266379,0.500529272860516,-0.26577640257308,0.766305675433597,12281
1000,GBRT 8,Causal Isotonic,12,-0.429676496702679,-0.448394604251523,-0.411764426373066,0,0,0,15939
1000,GBRT 8,Causal Isotonic,18,-0.209723152490458,-0.228592820106362,-0.191961135518306,0,0,0,34092
1000,GBRT 8,Causal Isotonic,11,-0.466339780070715,-0.485030731646274,-0.448398841876361,0,0,0,14063
1000,GBRT 8,Causal Isotonic,29,0.191161251847013,0.174383181669907,0.211014993724333,0.472422715511371,-0.216396568160153,0.688819283671524,7343
1000,GBRT 8,Causal Isotonic,15,-0.319804848221217,-0.338493175678026,-0.301861615882382,0,0,0,22700
1000,GBRT 8,Causal Isotonic,2,-0.795878996428214,-0.814711083544759,-0.778107639787869,0,0,0,3665
1000,GBRT 8,Causal Isotonic,1,-0.831928292702053,-0.851372639040915,-0.814755919052737,0,0,0,2920
1000,GBRT 8,Causal Isotonic,6,-0.649388585197549,-0.668194767823341,-0.631570980200623,0,0,0,7528
1000,RF,Causal Isotonic,24,-0.0178680075895764,-0.0352346010079187,-0.00368624056875228,0.00347502253427582,-0.0120439774182836,0.0155189999525594,168632
1000,RF,Causal Isotonic,9,-0.492433854283886,-0.508462344033306,-0.476917057957017,0,0,0,11373
1000,RF,Causal Isotonic,19,-0.176897015886098,-0.192976506156744,-0.16143027114051,0,0,0,31674
1000,RF,Causal Isotonic,10,-0.460874426676958,-0.47691432216237,-0.445371655888383,0,0,0,12455
1000,RF,Causal Isotonic,13,-0.36615923813729,-0.382270089278342,-0.350722686969365,0,0,0,16588
1000,RF,Causal Isotonic,5,-0.618554738334292,-0.634658660905628,-0.603111769435657,0,0,0,7128
1000,RF,Causal Isotonic,21,-0.113554553577973,-0.129879906275795,-0.098332239047822,0,0,0,45170
1000,RF,Causal Isotonic,11,-0.429372398530905,-0.445366848243126,-0.41381962554689,0,0,0,13581
1000,RF,Causal Isotonic,17,-0.240011243827212,-0.256075130808406,-0.22452894850015,0,0,0,24558
1000,RF,Causal Isotonic,27,0.0734448844075958,0.0594116910746452,0.0909592160753031,0.489817016437507,-0.24470174713119,0.734518763568696,19346
1000,RF,Causal Isotonic,23,-0.0496175536249524,-0.0667832505881903,-0.035234960725923,0,0,0,90037
1000,RF,Causal Isotonic,6,-0.587137694793166,-0.603108552311148,-0.571571115604585,0,0,0,8010
1000,RF,Causal Isotonic,25,0.00907767209466352,-0.00368596166806595,0.0278624410164813,0.518198689542855,-0.247115858046434,0.765314547589289,132015
1000,RF,Causal Isotonic,2,-0.712957214811186,-0.729286778542765,-0.697763766508253,0,0,0,4353
